trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.2, 'e': 0.04849452524942309}",20,5,8.799292978645868,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.04606979898695193}",20,13,10.382069491841518,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.04376630903760433}",20,16,9.844854669330653,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.041577993585724116}",20,6,20.749905844872913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.03949909390643791}",20,5,18.08522732423991,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.03752413921111601}",30,18,21.296824374019106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.03564793225056021}",25,16,16.79991491862277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.0338655356380322}",20,6,19.768518901333728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.032172258856130585}",20,0,29.027259001593237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.030563645913324056}",25,12,18.546791580257338,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.029035463617657853}",20,13,11.26795427725508,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.027583690436774957}",20,10,17.344752916808588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.02620450591493621}",20,5,24.352616698716474,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
